pl_name,hostname,pl_letter,tic_id,pl_trandep,st_teff,st_logg,ra,dec,sy_dist,sy_tmag,Ratio,AB_Mag,Data_Size,Weight
5132.01,5132,APC,114516994,,7947,4.04,88.308222,21.917925,493.91,10.1485,0.199817451,13.646371,1.021936413,0.5
5139.01,5139,PC,95337971,,3859,4.65384,153.384453,19.948217,131.219,12.7263,0.000128912,24.20002024,1.029833036,0.5
5140.01,5140,PC,175193677,,6061.77,4.31439,129.689446,23.685265,35.26,6.3687,0.039365723,11.63035896,1.174680271,0.5
5143.01,5143,PC,281837575,,5296.38,4.53407,165.36512,5.139481,181.38,11.2668,0.00937301,18.0865568,1.037158422,0.5
5147.01,5147,PC,95361530,,5174.39,4.4946,154.241054,18.213862,272.747,12.2325,0.007335799,19.31833599,1.029730902,0.5
5148.01,5148,PC,291517604,,5447,3.86,261.241401,-58.633055,237.514,10.0143,0.011317723,16.62935693,1.010077749,0.5
5149.01,5149,PC,286094277,,5903,4,310.458865,48.028314,298.458,10.4815,0.028095522,16.10936178,1.036161242,0.5
5151.01,5151,PC,388130237,,5643,4.44,65.399258,-67.47014,485.421,12.8337,0.017350203,18.98489314,1.067783791,0.5
5154.01,5154,APC,240849748,,6010,4.06,340.959712,-16.462463,338.491,10.7203,0.032603193,16.1866042,1.041445679,0.5
5156.01,5156,PC,468889418,,5857.9,4.4,56.757474,8.664659,160.968,10.2409,0.028321114,15.86007869,1.011564478,0.5
5158.01,5158,PC,337647366,,5890.5,3.76,131.191359,16.243654,1175.98,12.8325,0.028095522,18.46036178,1.004302308,0.5
5159.01,5159,PC,286712787,,5259,4.53,142.785956,20.019343,55.1788,8.6739,0.00937301,15.4936568,1.045954543,0.5
516.01,516,APC,318937509,,3109,5.06577,112.381555,2.847953,150.5,14.114,1.58E-05,27.86523913,1.008652313,0.5
5160.01,5160,PC,4165850,,5653.3,4.41,114.639398,31.394454,151.465,10.187,0.021029307,16.12939215,1.088091374,0.5
5161.01,5161,PC,277697921,,4181.8,4.4,153.350015,3.960129,157.656,12.1875,0.000211986,23.12118497,1.015074648,0.5
5165.01,5165,PC,349986198,,4642.1,4.43,154.250153,6.866478,245.302,12.5389,0.000942581,21.8525581,1.014776183,0.5
5166.01,5166,PC,59582240,,5502,4.53,145.827534,15.004027,112.335,10.0063,0.014233297,16.37249075,1.018537035,0.5
5167.01,5167,PC,458686504,,6504.4,4.05,133.817943,11.548868,1425.02,13.3935,0.062584668,18.15178465,1.004302308,0.5
5169.01,5169,PC,350023518,,5002,4.56836,154.868917,6.582766,36.2194,8.1644,0.004250669,15.8427113,1.058301067,0.5
5171.01,5171,PC,110996418,,5780,4.438,188.696788,-10.31971,696.695,13.4003,0.024792143,19.16396935,1.029058863,0.5
5172.01,5172,PC,53287554,,4570,4.59581,192.989892,-0.499038,84.1815,10.648,0.000942581,19.9616581,1.008900405,0.5
5175.01,5175,PC,55266835,,4797.5,4.27798,139.324444,15.97982,414.845,13.0207,0.002149943,21.43908709,1.028587048,0.5
5176.01,5176,PC,437054764,,3728,4.70337,135.019493,13.273706,268.685,14.6831,9.31E-05,26.51065382,1.029022065,0.5
5177.01,5177,PC,350033870,,6183,4.06,155.072519,7.273586,154.965,8.8471,0.042887309,14.01573256,1.05208784,0.5
5179.01,5179,PC,288671122,,5702,4.43,280.251649,83.055747,256.739,11.3617,0.021029307,17.30409215,1.074140703,0.5
518.01,518,PC,264979636,,5596,4.32233,115.71678,8.866906,159.814,10.1432,0.017350203,16.29439314,1.026696663,0.5
5180.01,5180,PC,346972413,,6976,4.16,282.877583,19.560248,705.408,12.2175,0.097639157,16.49289449,1.000095979,0.5
5181.01,5181,PC,346667887,,5943,4.03,280.677474,21.69982,480.155,11.7242,0.028095522,17.35206178,1.007239957,0.5
5182.01,5182,PC,99654378,,5718,4.53,124.20331,71.286898,208.267,11.1303,0.021029307,17.07269215,1.02449626,0.5
5183.01,5183,PC,298829544,,5919,4.1,287.764397,52.24468,1084.09,13.4685,0.028095522,19.09636178,1.028501213,0.5
5185.01,5185,PC,462808933,,6353,3.94,277.589668,16.908527,770.483,12.3595,0.05531805,17.25178739,1.002682717,0.5
5186.01,5186,PC,68453985,,8076,4.25,291.589776,17.06358,804.742,12.2428,0.199817451,15.740671,1.000081862,0.5
5187.01,5187,PC,441590110,,6263,4.3,113.27293,77.577697,436.183,11.6215,0.051551091,16.59035989,1.023769521,0.5
5188.01,5188,PC,141677268,,5395,3.7,111.926404,83.647091,357.174,10.5784,0.010414928,17.28371386,1.028817102,0.5
5190.01,5190,PC,289574465,,6728,4.12,278.781977,36.615633,675.281,11.7191,0.075753958,16.27004122,1.007335398,0.5
5191.01,5191,PC,359469754,,8032,4.17,291.567585,18.995258,757.613,12.6103,0.199817451,16.108171,1.000051204,0.5
5192.01,5192,PC,336125492,,6121.7,4.02,281.06595,38.007341,825.977,12.5231,0.036957344,17.85330266,1.00705537,0.5
5193.01,5193,PC,336126253,,5469,4.53,281.074106,37.366161,253.938,11.8002,0.014233297,18.16639075,1.003400122,0.5
5194.01,5194,PC,288612903,,5889,4.2,275.085296,40.332613,526.642,12.1605,0.028095522,17.78836178,1.009879894,0.5
5195.01,5195,PC,357145112,,6124,4.13,290.124851,23.819189,491.054,12.1391,0.036957344,17.46930266,1.000081858,0.5
5196.01,5196,PC,383828887,,5854,4.28,284.160862,33.279514,763.703,13.2357,0.028321114,18.85487869,1.00715469,0.5
5197.01,5197,PC,219431828,,5062,4.47,146.712487,76.893849,232.248,11.906,0.00562451,19.28024285,1.013614023,0.5
520.01,520,PC,148479278,,7450,4.33986,102.657977,-37.960195,222.315,9.3777,0.14693006,13.2093779,1.083468121,0.5
5200.01,5200,PC,21101556,,6520,4.26,274.422007,52.572205,451.568,11.3862,0.066237127,16.08290083,1.038792643,0.5
5201.01,5201,PC,267810289,,5704,4.1,293.096015,58.368884,914.238,13.306,0.020312754,19.28603251,1.052853313,0.5
5202.01,5202,PC,320324079,,6382,4.07,246.458472,74.838054,567.18,11.5405,0.05531805,16.43278739,1.063593055,0.5
5203.01,5203,PC,158323182,,5907.2,3.75,286.90686,47.905245,1119.77,12.6934,0.025000459,18.44798457,1.004685921,0.5
5204.01,5204,PC,65845738,,6589,3.98,310.938842,40.29807,821.754,12.3428,0.06956049,16.98634795,1.013155815,0.5
5206.01,5206,PC,159117779,,5972,3.72,192.905209,78.027244,1297.27,12.8715,0.028861377,18.47016192,1.030770214,0.5
5207.01,5207,PC,147892178,,3850,4.68,142.729233,71.740257,156.815,13.2754,0.000108677,24.93450747,1.011517219,0.5
5209.01,5209,PC,111108561,,5900,4.54,291.871283,25.453331,404.438,12.8462,0.028321114,18.46537869,1.000051406,0.5
521.01,521,PC,27649847,,3439,4.97486,123.344257,12.222108,60.9425,12.4029,5.43E-05,24.81471761,1.090530084,0.5
5210.01,5210,PC,265979849,,5569,4.21,314.316923,21.950206,302.086,11.4194,0.017173069,17.58173477,1.004978539,0.5
5211.01,5211,PC,215595454,,6379,4.15,295.168022,28.682559,1054.17,13.3285,0.05531805,18.22078739,1.007600912,0.5
5213.01,5213,PC,247356332,,6254,4.42,309.275892,29.365411,625.326,12.8179,0.051551091,17.78675989,1.000061585,0.5
5214.01,5214,PC,7583660,,5840.8,3.65,272.537667,47.875676,893.944,12.0228,0.021420926,17.94515895,1.015647847,0.5
5215.01,5215,PC,236632480,,5873,4.21,314.987438,31.485279,666.058,12.8507,0.028095522,18.47856178,1.000080272,0.5
5216.01,5216,PC,256561562,,6818,3.89,299.937613,61.653163,1526.91,12.9392,0.08297209,17.39132447,1.040788808,0.5
5217.01,5217,PC,215018906,,6029,3.71,294.922389,28.572231,517.506,10.9992,0.028861377,16.59786192,1.007385901,0.5
5218.01,5218,PC,259172249,,3937,4.59,292.663464,71.762961,377.483,14.5179,0.000128912,25.99162024,1.060376332,0.5
5219.01,5219,PC,378708888,,6095,3.95,302.828492,34.368508,991.551,13.4066,0.036957344,18.73680266,1.000119782,0.5
522.01,522,PC,19451711,,7381,4.438,124.602684,-7.571238,111.179,7.3645,0.14693006,11.1961779,1.073541566,0.5
5220.01,5220,PC,394691478,,6655,4.19,291.435194,30.028078,1094.99,13.1562,0.075753958,17.70714122,1.007366786,0.5
